,Date,User,Tweet
121,2019-02-17 22:49:48+00:00,MicrobesInfect,"Four dead from #MERS virus in Oman.

The number of cases recorded this year has reached 10, which resulted in the 4 deaths.

https://t.co/qN8BFb87Uh #coronavirus https://t.co/7pPFFJXUUH"
122,2019-02-17 17:21:28+00:00,ironorehopper,"#HK, Two Suspected #MERS #Coronavirus cases reported (CHP, Feb. 17 ‘19) https://t.co/y35LuV9DyY on @bloglovin"
123,2019-02-17 16:44:09+00:00,ironorehopper,"#HK, Two Suspected #MERS #Coronavirus cases reported (CHP, Feb. 17 ‘19) https://t.co/WCIzN8y26M"
124,2019-02-16 20:06:05+00:00,ironorehopper,"Two New #MERS #Coronavirus Cases reported by #Saudi Arabia (MoH, February 16... https://t.co/jFX85FBMdZ on @bloglovin"
125,2019-02-16 20:04:47+00:00,ironorehopper,"Two New #MERS #Coronavirus Cases reported by #Saudi Arabia (MoH, February 16 '19) https://t.co/mZViBuZG3G"
126,2019-02-16 16:00:01+00:00,GDNonline,"Three patients died of Coronavirus in Saudi

https://t.co/MUelmCQTN6

#SaudiArabia #KSA #Coronavirus https://t.co/5Djvhw48Cy"
127,2019-02-16 12:18:10+00:00,_salimrashid,"مستغرب الناس اللي تحط المشكله بتعقيم المستشفى! يا أخي
المشكلة جايه من خارج المستشفى، وتنقله ع طريق العطس والرذاذ! يعني هنا مسؤولة شخصية أثر من انها مسؤولية مستشفى! 
#متلازمة_الشرق_الأوسط_التنفسية
#كورونا
#Coronavirus"
128,2019-02-16 05:07:32+00:00,Nri_malayalee,"സൗദിയിൽ ഭീതി പരത്തി വീണ്ടും കൊറോണ വൈറസ്; ജാഗ്രതാ നിര്‍ദേശം പുറപ്പെടുവിച്ച് അധികൃതർ

https://t.co/GDCwneYp0q

#cases #coronavirus #diagnosed  #Saudi #alert #"
129,2019-02-16 03:50:48+00:00,madhyamam,#coronavirus സൗദിയില്‍ കൊറോണ വൈറസ്: ഒരു മരണം;  24 പേര്‍ക്ക് രോഗം സ്​ഥിരീകരിച്ചു https://t.co/Vin20l1HdX
130,2019-02-15 19:07:43+00:00,MediaOneTVLive,"രോഗം ബാധിച്ചവരില്‍ 65 ശതമാനം പേരും റിയാദ് പ്രവശ്യയിലെ....
#Gulf #Saudi #CoronaVirus #ReadMore #Buzz https://t.co/oc03SOcHFp"
131,2019-02-15 17:41:06+00:00,ironorehopper,Middle East respiratory syndrome #coronavirus (#MERS-CoV) – #Saudi Arabia... https://t.co/S1USlu8Fnq on @bloglovin
132,2019-02-15 16:40:05+00:00,ironorehopper,"One New #MERS #Coronavirus Case reported by #Saudi Arabia (MoH, February 15 '19) https://t.co/rETvrZlleu on @bloglovin"
133,2019-02-15 16:16:40+00:00,ironorehopper,"Middle East respiratory syndrome #coronavirus (#MERS-CoV) – #Saudi Arabia (@WHO, Feb. 15 ‘19) https://t.co/7PAL3My4CP"
134,2019-02-15 16:00:03+00:00,ironorehopper,"One New #MERS #Coronavirus Case reported by #Saudi Arabia (MoH, February 15 '19) https://t.co/4su69CYTVS"
